SegmentsId,ObservationTime,Accident Time
2953351,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:43:00
2953350,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:43:00
2953349,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:28:00
3406731,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:33:00
3406730,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:43:00
3406729,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:43:00
3406728,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:43:00
3406727,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:23:00
3406726,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:43:00
3406725,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:23:00
2953353,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:43:00
2953354,['2021-01-04 08:13:00', '2021-01-04 08:53:00'],2021-01-04 08:13:00
1492537,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:03:00
1492536,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 09:58:00
1492535,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 09:58:00
1492534,['2021-01-04 13:33:00', '2021-01-04 13:48:00'],2021-01-04 13:43:00
1492533,['2021-01-04 13:33:00', '2021-01-04 13:48:00'],2021-01-04 13:48:00
1538558,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 10:03:00
1538559,['2021-01-04 09:58:00', '2021-01-04 10:08:00'],2021-01-04 09:58:00
2953387,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:53:00
2953389,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:53:00
2953386,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:53:00
3230002,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 12:53:00
3230003,['2021-01-04 12:53:00', '2021-01-04 13:23:00'],2021-01-04 13:03:00
1573305,['2021-01-04 12:03:00', '2021-01-04 12:13:00'],2021-01-04 12:03:00
623788,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
501008,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
501009,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623422,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623423,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623424,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623425,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623426,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623427,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623428,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623429,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623430,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623431,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
623432,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
903581,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:14:00
1430505,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:14:00
1430504,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:14:00
1430503,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
1430502,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
1430501,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
1430500,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:14:00
1430499,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
1430498,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
1430497,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
1430496,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
903582,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:08:00
903583,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:18:00
903584,['2021-01-04 09:08:00', '2021-01-04 09:18:00'],2021-01-04 09:18:00
645292,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:28:00
645293,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:28:00
1567143,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:28:00
1567144,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:28:00
1567145,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:00
1567150,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:28:00
1567151,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:38:00
1567155,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 08:28:00
645295,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:33:00
645294,['2021-01-04 07:28:00', '2021-01-04 09:18:00'],2021-01-04 07:33:00
458466,['2021-01-04 07:38:00', '2021-01-04 07:48:00'],2021-01-04 07:38:00
903578,['2021-01-04 07:38:00', '2021-01-04 07:48:00'],2021-01-04 07:38:00
2582013,['2021-01-04 07:58:00', '2021-01-04 08:08:00'],2021-01-04 07:58:00
3542534,['2021-01-04 10:03:00', '2021-01-04 10:13:00'],2021-01-04 10:08:00
3542533,['2021-01-04 10:03:00', '2021-01-04 10:13:00'],2021-01-04 10:08:00
3542532,['2021-01-04 10:03:00', '2021-01-04 10:13:00'],2021-01-04 10:08:00
87721,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:13:00
87716,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:43:00
87717,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:13:00
87718,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:13:00
87719,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:13:00
108,['2021-01-04 08:13:00', '2021-01-04 08:43:00'],2021-01-04 08:43:00
